conflict_id,conflict_tag,rule_ids,conflict_type,description,preferred_resolution,resolution_layer,status,owner_notes
C00001,append_only_vs_overwrite,"R00007|R00009|R00040",layer_boundary,"Canonical truth and artifacts require append-only immutability, while some runtime state files may need controlled overwrite.","Define artifact/event/history as immutable canonical objects. Define cache/state/temp/config snapshots as non-canonical mutable objects with versioning and audit trail.",L5,open,"Resolve by explicit object taxonomy: artifact vs state vs cache vs config."
C00002,goal_driven_tension,"R00005",philosophical_scope,"Exploration-first can conflict with local goal-driven optimization used in operations.","Keep exploration-first at constitutional level. Allow goals only as bounded local optimization targets within L4.",L1,resolved,"Goal is subordinate to exploration."
C00003,loop_variant,"R00014|R00030",representation,"Runtime loop and operational cycle are phrased differently and may appear inconsistent.","Treat L2 as canonical runtime loop and L4 as operational realization of the same loop.",L2,resolved,"Nested-loop interpretation."
C00004,domain_specific_override,"R00012|R00025",scope_conflict,"Domain-specific rules may attempt to override global invariants or isolation guarantees.","All domain rules must be annex-level and cannot override L1-L3 invariants.",L3,open,"Enforce during domain charter ingestion."
C00005,minimal_core_vs_feature_growth,"R00011|R00029|R00035",architectural_tension,"Core minimization may conflict with expanding operational features and tracks.","Keep core interfaces minimal; push feature growth to domains, modules, and external adapters.",L1,resolved,"Growth outside core."
C00006,replayability_vs_external_dependency,"R00008|R00039|R00042",operational_tension,"Replayable state can be weakened by unstable external APIs or non-reproducible external data.","Persist external inputs, versions, timestamps, and normalization outputs required for replay.",L5,open,"Need ingestion policy and snapshot rule."
C00007,security_vs_observability,"R00028|R00037|R00043|R00044",policy_tradeoff,"Auditability and monitoring can expose sensitive data if not redacted.","Require redaction and secret masking in logs, dashboards, and audit exports.",L5,open,"Add logging redaction rule."
C00008,parallelism_vs_stability,"R00015|R00020|R00029|R00035",operational_tradeoff,"Parallel exploration and tracks can reduce stability or exhaust resources.","Govern concurrency with quotas, admission control, and rollback-safe scheduling.",L4,open,"Need scheduler policy."
C00009,recovery_vs_immutability,"R00027|R00009|R00010",recovery_tension,"Recovery actions may be implemented as overwrite or rollback of immutable artifacts.","Recovery must restore state by replay, pointer switch, or new artifact issuance, never by mutating canonical artifacts.",L3,resolved,"Artifact immutability preserved."
C00010,policy_location_ambiguity,"R00037|R00038|R00039|R00040|R00041|R00042|R00043|R00044",classification,"Some policy rules may be mistaken as governance or runtime rules during ingestion.","Classify by highest stable layer: invariants to L1, control to L3, operational process to L4, compliance/storage/security to L5.",L5,resolved,"Use classifier before merge."
