audit_id,coverage_area,status,target_layer,target_doc,target_section,target_id,resolution_type,canonical_owner,notes
A-WN-0001,repo_runtime_entry,covered,L4,CHECKLIST_LAYER3_REPO매핑,WEBNOVEL_CANONICAL_OVERRIDE,WN.L4.01,direct,app.py,"runtime entrypoint fixed to app.py"
A-WN-0002,generation_orchestration,covered,L4,CHECKLIST_LAYER3_REPO매핑,WEBNOVEL_CANONICAL_OVERRIDE,WN.L4.02,direct,engine/pipeline.py,"episode generation center mapped"
A-WN-0003,goal_definition,covered,L2,CHECKLIST_LAYER2_모듈책임,Goal / Objective Module,WN.L2.01,direct,GOAL.md,"user-facing product goal fixed"
A-WN-0004,system_objective,covered,L2,CHECKLIST_LAYER2_모듈책임,Goal / Objective Module,WN.L2.02,direct,SYSTEM_OBJECTIVE.md,"stable production objective fixed"
A-WN-0005,governance_anchor,covered,L2,CHECKLIST_LAYER2_모듈책임,Goal / Objective Module,WN.L2.03,direct,METAOS_ANCHOR.md,"canonical stack anchored"
A-WN-0006,hook_quality_gate,covered,L3,CHECKLIST_LAYER2_모듈책임,Semantic Validation Module,WN.L3.01,direct,engine/quality_gate.py,"hook threshold enforced"
A-WN-0007,retention_gate,covered,L3,CHECKLIST_LAYER2_모듈책임,Semantic Validation Module,WN.L3.02,direct,engine/quality_gate.py,"predicted retention and unresolved pressure enforced"
A-WN-0008,causal_gate,covered,L3,CHECKLIST_LAYER2_모듈책임,Semantic Validation Module,WN.L3.03,direct,engine/quality_gate.py,"causal score and issue count enforced"
A-WN-0009,quality_feedback_rewrite,covered,L5,CHECKLIST_METHOD_패치,Patch Application Pipeline,WN.L5.01,direct,engine/pipeline.py,"gate failures now drive targeted rewrite"
A-WN-0010,scoring_axes_extended,covered,L3,CHECKLIST_LAYER2_모듈책임,Semantic Validation Module,WN.L3.04,direct,engine/prompts.py,"character/payoff/pacing/chemistry scoring added"
A-WN-0011,cliffhanger_enforcement,covered,L3,CHECKLIST_LAYER2_모듈책임,Artifact Generation Module,WN.L3.05,direct,engine/cliffhanger_engine.py,"episode-end hook is structured and enforced"
A-WN-0012,character_pressure_engine,covered,L3,CHECKLIST_LAYER2_모듈책임,Artifact Generation Module,WN.L3.06,direct,engine/character_arc.py,"desire/fear/weakness pressure tracked"
A-WN-0013,conflict_escalation_engine,covered,L3,CHECKLIST_LAYER2_모듈책임,Artifact Generation Module,WN.L3.07,direct,engine/conflict_memory.py,"open threads and consequence escalation tracked"
A-WN-0014,retention_prediction,covered,L3,CHECKLIST_LAYER2_모듈책임,Semantic Validation Module,WN.L3.08,direct,engine/predictive_retention.py,"reader carryover pressure modeled"
A-WN-0015,world_logic_continuity,covered,L3,CHECKLIST_LAYER2_모듈책임,Semantic Validation Module,WN.L3.09,direct,engine/world_logic.py,"world order and instability updated"
A-WN-0016,causal_validation,covered,L3,CHECKLIST_LAYER2_모듈책임,Semantic Validation Module,WN.L3.10,direct,engine/scene_causality.py,"causal checks explicit"
A-WN-0017,causal_repair,covered,L3,CHECKLIST_LAYER2_모듈책임,Repair Module,WN.L3.11,direct,engine/causal_repair.py,"repair planning and closure exist"
A-WN-0018,regression_guard,covered,L3,CHECKLIST_LAYER2_모듈책임,Post-Patch Verification Module,WN.L3.12,direct,engine/regression_guard.py,"multi-axis regression decision exists"
A-WN-0019,content_ceiling_eval,covered,L3,CHECKLIST_LAYER2_모듈책임,Semantic Validation Module,WN.L3.13,direct,analytics/content_ceiling/ceiling.py,"ceiling_total generated from episode text and state"
A-WN-0020,repo_specific_l3_mapping,covered,L4,CHECKLIST_LAYER3_REPO매핑,WEBNOVEL_CANONICAL_OVERRIDE,WN.L4.03,direct,docs/governance/CHECKLIST_LAYER3_REPO매핑.md,"repo-specific override inserted"
A-WN-0021,quality_test_slice,covered,L4,CHECKLIST_LAYER3_REPO매핑,Test / Audit Mapping,WN.L4.04,direct,tests/test_quality_gate.py,"quality gate test added"
A-WN-0022,cliffhanger_tests,covered,L4,CHECKLIST_LAYER3_REPO매핑,Test / Audit Mapping,WN.L4.05,direct,tests/test_fun_cliffhanger_engine.py,"cliffhanger enforcement tested"
A-WN-0023,character_tests,covered,L4,CHECKLIST_LAYER3_REPO매핑,Test / Audit Mapping,WN.L4.06,direct,tests/test_fun_character_engine.py,"character pressure tested"
